city,county,Employees,zipcode,overall_risk,overall_points,general_fund_reserves_ratio,debt_burden_ratio,liquidity_ratio,revenue_trends_ratio,pension_obligations_ratio,pension_funding_ratio,pension_costs_ratio,future_pension_costs_ratio,opeb_obligations_ratio,opeb_funding_ratio,population,unemployment_rate,general_fund_cash_and_investments,general_fund_liabilities,primary_government_long_term_obligations_excluding_retirement_obligations,government_wide_revenue,change_gf_unrestricted_fund_balances,gf_unrestricted_fund_balances,gf_expenditures_transfers_out,gf_unrestricted_fb_py_py,gf_unrestricted_fb_py,gf_unrestricted_fb_cy,gf_rev_py_py,gf_rev_py,gf_rev_cy,net_pension_liability_or_asset,pension_related_debt,pension_assets,accrued_pension_liabilities,actuarially_determined_pension_contributions,projected_pension_contribution,net_opeb_liability_or_asset,county_voter_reg_08,county_college_2008_12,county_avg_unemployed_05_09,county_per_cap_gdp_08,county_pop_08,county_per_cap_income_08,county_per_cap_1099_income_08,county_n_jobs_08,county_avg_wage_08,county_med_age_08,county_med_age_m_08,county_med_age_f_08,county_prop_m_08,county_prop_f_08
Livingston,Merced,163,95334,Low,76.09,0.49,0.5,4.99,0.07,0.31,0.77,0.03,0.06,0.14,0,14417,0.042,3051883,611467,9182174,18394543,0.2,3134116,6415157,2175404,2668309,3134116,5899436,6022089,6764720,5751838,0,18726481,24402565,502382,1079468.03,2546587,0.692389903,0.125,0.1188,29.54194972,250538,26936,3459,90756,35639,29.6,28.7,30.5,0.50328586,0.49671414
Lodi,San Joaquin,729,95241,Moderate,61.78,0.4,1.01,4.41,0.02,0.76,0.65,0.05,0.1,0.19,0.03,67003,0.059,18821161,4271334,180400292,179313268,0.19,18767905,47437758,13214670,14968357,18767905,43143221,44221656,45288116,135928331,0,256730896,393016747,9171033,17296423.49,33275362,0.650551261,0.179,0.0986,35.11675292,671692,32080,4692,287022,40880,32.7,31.5,34,0.497923555,0.502076445
Loma Linda,San Bernardino,93,92354,Low,86.71,0.81,0.62,7.89,0.09,0.43,0.75,0.04,0.06,0.01,0.41,24331,0.026,15229490,1930667,23254159,37423984,0.11,15738526,19392350,12820169,13517041,15738526,17109421,18033762,20417033,16250803,0,47818899,63912073,1526424,2161064.64,504586,0.674809046,0.186,0.0736,34.97512396,2003735,29988,4061,885185,41008,31.7,30.6,32.8,0.497003749,0.502996251
Lomita,Los Angeles,107,90717,Low,79.3,0.67,0.38,6.78,0.02,0.48,0.72,0.04,0.06,0.28,0,20448,0.041,6354792,937670,7165344,18669211,0.05,6366662,9467625,5879989,6813791,6366662,8689724,8676010,9021984,9009203,0,21041107,29144192,799367,1154585.18,5314261,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Lompoc,Santa Barbara,519,93438,Moderate,49.72,0.07,1,2.11,0.06,0.8,0.71,0.07,0.12,0.14,0.41,42689,0.052,4450582,2113078,103397456,103247153,-0.26,2511283,33899602,4505550,3436793,2511283,25654700,27344280,28354129,82464700,0,206786302,292038469,6844107,12461847.6,14966734,0.737632461,0.315,0.0534,53.01265814,415859,45327,13688,258059,44000,33.6,32.3,35.1,0.501978084,0.498021916
Long Beach,Los Angeles,6506,90802,Moderate,52.48,0.25,1.79,2.8,0.1,0.57,0.79,0.05,0.09,0.03,0,465865,0.047,109226000,39053000,3375630000,1886182000,0.13,130175000,531055000,105984000,98412000,130175000,423209000,455716000,506342000,1056334000,19283000,4078326513,5134661868,99715000,177142799.2,51501000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Loomis,Placer,30,95650,Low,92.66,0.98,0.01,25.47,0.12,0.16,0.9,0.01,0.02,0.02,0,6819,0.038,3582929,140695,93213,7397144,0.08,4027319,4127037,3611910,4547799,4027319,3399534,3462069,4201003,1205984,0,5011983,5582261,45298,176882.51,183813,0.831388887,0.347,0.0606,46.07508709,337568,47986,9735,198859,45005,40.3,39,41.4,0.488333448,0.511666552
Los Alamitos,Orange,136,90720,Moderate,63.79,0.55,0.34,6.63,0.04,1.28,0.74,0.1,0.19,0.31,0,11458,0.031,7666628,1156079,4995324,14748874,0.03,7710346,13938162,7349748,7537915,7710346,12824730,12927832,13712259,18846694,0,53049705,71903318,1454805,2765665.62,4517345,0.864068425,0.366,0.0504,65.05009547,2957593,49785,10940,1998599,52932,36.2,34.9,37.5,0.494573176,0.505426824
Los Altos,Santa Clara,232,94022,Low,86.05,1.09,0.13,19.38,0.05,0.7,0.73,0.06,0.11,0.03,0.52,30456,0.025,43776183,2258774,6554640,51695682,0.08,43461831,39757924,37599187,43778103,43461831,37714800,39109065,41177393,36185071,0,97984170,134126262,3160073,5677251.68,1540000,0.706005812,0.46,0.0628,91.79353048,1740964,61220,12764,1164619,81944,36.2,35.3,37.1,0.501700678,0.498299322
Los Altos Hills,Santa Clara,45,94022,Low,93.99,0.98,0.01,3.94,0.13,0.22,0.87,0.11,0.03,0.02,0.88,8530,NA,15215255,3865437,112575,15328395,0.11,11729294,11983975,9721176,12457874,11729294,8813003,9353072,11255395,3400941,0,12836645,14727048,1640692,439292.32,302473,0.706005812,0.46,0.0628,91.79353048,1740964,61220,12764,1164619,81944,36.2,35.3,37.1,0.501700678,0.498299322
Los Angeles,Los Angeles,62795,90012,Moderate,49.22,0.16,2.02,1.74,0.04,0.53,0.84,0.08,NA,0.18,0.68,3977596,0.046,1058705000,606897000,32380740000,15996382000,-0.05,887392000,5484106000,984155000,840748000,887392000,4893037000,5007604000,5249932000,8438197000,0,43491137000,51929334000,1335339000,NA,2813913000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Los Banos,Merced,219,93635,Low,87.28,0.86,0.14,8.03,0.07,0.43,0.74,0.06,0.08,0.34,0.25,39960,0.105,13166280,1639305,7237251,52618647,0.05,13120621,15240556,11974399,12283423,13120621,14210112,14885169,16063614,22419524,0,60907880,82703949,2960775,3978189.05,17883924,0.692389903,0.125,0.1188,29.54194972,250538,26936,3459,90756,35639,29.6,28.7,30.5,0.50328586,0.49671414
Los Gatos,Santa Clara,233,95031,Low,78.2,0.76,0.09,3.6,0.02,1.22,0.72,0.11,0.18,0.26,0.55,30599,0.028,37907933,10532270,4049304,43775789,0.02,30428684,40257940,29574272,29180624,30428684,39516979,38746123,40529416,53204508,0,139711753,193339744,4620844,7994226.99,11165000,0.706005812,0.46,0.0628,91.79353048,1740964,61220,12764,1164619,81944,36.2,35.3,37.1,0.501700678,0.498299322
Loyalton,Sierra,23,96118,Low,79.85,1.62,3.39,0.97,0.46,NA,NA,NA,NA,NA,NA,702,0.064,357393,367897,5048160,1487261,0.56,418309,257443,175087,236946,418309,224014,301045,472116,NA,NA,NA,NA,NA,NA,NA,0.922862823,0.167,0.0992,28.90813253,3320,28239,5979,1234,32690,50.9,50.5,51.5,0.508024691,0.491975309
Lynwood,Los Angeles,216,90262,Moderate,51.23,0.15,0.94,0.62,0.13,0.56,0.73,0.01,0.06,0.34,0.15,70285,0.054,4651568,7525529,61420453,65421968,0.47,4872143,33347239,2453365,2562442,4872143,25720836,26907699,32562763,36832099,0,85731178,117995702,481149,3697658.91,22447807,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
Madera,Madera,421,93637,Moderate,70.98,0.54,0.74,7.78,0.14,0.66,0.7,0.06,0.1,0.05,0,65440,0.079,14617087,1878367,50570759,68568439,0.12,17446826,32291971,14078991,15168000,17446826,22806629,24908547,29482146,45385894,0,105659515,151568164,4336786,6698526.27,3169504,0.652612116,0.139,0.0914,31.93317561,148359,26549,3880,59936,36146,33,31.4,34.3,0.481768468,0.518231532
Malibu,Los Angeles,162,90265,Low,89.32,1.41,0.9,15.75,0.06,0.1,0.8,0.01,0.02,0.03,0.75,12757,0.029,35578012,2259261,50198711,56018914,0.2,40118222,28411022,28249729,33786722,40118222,30569753,30593272,33819089,5545643,0,21324237,26762799,753756,1354251.59,1467000,0.744210624,0.295,0.0688,58.53160101,9735147,42948,8593,5624844,53099,34.8,33.6,35.9,0.492906477,0.507093523
